[GENERAL]
DATE=March 15, 2017 at 16:18:13
CYME_VERSION=7.20
CYMDIST_REVISION=05

[SI]

[CABLE]
FORMAT_CABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,RatedLevel,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Manufacturer,Standard,CableType,NumberOfGroundingConductors,ArmorOuterDiameter,OverallDiameter,ConcentricNeutralBeforeSheath,UserDefinedImpedances,Frequency,Temperature,ImpedancesNote,Favorite,Flags,Comments
M-PPB-T-70,0.310000,0.310000,0.227000,0.227000,81.640000,81.640000,170.000000,170.000000,170.000000,170.000000,170.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-G-2X95,0.204900,1.000000,0.040000,1.000000,421.300000,1.000000,440.000000,440.000000,440.000000,484.000000,484.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,2,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-GKN-K-6 RE,3.563900,0.000000,0.112000,0.000000,172.790000,0.000000,50.000000,50.000000,50.000000,50.000000,50.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
1-TRI-GKN-6-CU,0.400000,0.400000,1.400000,1.400000,0.000000,0.000000,44.000000,44.000000,44.000000,44.000000,44.000000,851.964059,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,NEXANS,ASE / HD 603; IEC 60228,1,1,27.000000,28.000000,0,0,50.000000,25.000000,,0,0,
M-C-185-AD,0.191200,0.336000,0.311500,1.634000,3.718000,1.300000,590.000000,590.000000,590.000000,590.000000,590.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-TDC-50-EP,0.447600,0.000000,0.083000,0.000000,565.490000,0.000000,150.000000,150.000000,150.000000,174.000000,174.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-GKT-50,0.493200,1.000000,0.083000,1.000000,168.560000,1.000000,190.000000,190.000000,190.000000,209.000000,209.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-XKT-F-185-10KV,0.127000,0.127000,0.108000,0.108000,103.620000,103.620000,424.000000,424.000000,424.000000,466.000000,466.000000,300.000000,,,,,,10.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-PPB-TFF-120,0.178000,0.178000,0.099000,0.099000,103.673000,103.673000,248.000000,248.000000,248.000000,287.000000,287.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-GKT-T-150,0.159000,0.159000,0.113000,0.113000,101.736000,101.736000,376.000000,376.000000,376.000000,414.000000,414.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-C-5-AC,5.450000,5.595000,0.381800,1.705000,3.003000,1.200000,64.000000,64.000000,64.000000,64.000000,64.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
M-PHT-240-AD,0.148500,0.291000,0.381400,1.472000,3.023000,1.300000,700.000000,700.000000,700.000000,700.000000,700.000000,300.000000,,,,,,20.000000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-3X95,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,3,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
