,name,vn_kv,type,zone,in_service,x,y
0,42885650,10.6,b,,True,554436.0,146391.0
1,42882928,10.6,b,,True,554436.0,146391.0
2,42882783,10.6,b,,True,554436.0,146391.0
3,52034695,10.6,b,,True,554436.0,146391.0
4,42885533,10.6,b,,True,554436.0,146391.0
5,42882924,10.6,b,,True,554436.0,146391.0
6,42878167,10.6,b,,True,554436.0,146391.0
7,42964447,10.6,b,,True,554436.0,146391.0
8,42882919,10.6,b,,True,554436.0,146391.0
9,42881300,10.6,b,,True,554436.0,146391.0
10,42882787,10.6,b,,True,554436.0,146391.0
11,42878168,10.6,b,,True,554436.0,146391.0
12,52034645,10.6,b,,True,554436.0,146391.0
13,42878162,10.6,b,,True,554436.0,146391.0
14,42878160,10.6,b,,True,554436.0,146391.0
15,42882926,10.6,b,,True,554436.0,146391.0
16,42885538,10.6,b,,True,554436.0,146391.0
17,42885652,10.6,b,,True,554436.0,146391.0
18,42882922,10.6,b,,True,554436.0,146391.0
19,42878163,10.6,b,,True,554436.0,146391.0
20,42943585,10.6,b,,True,554436.0,146391.0
21,42882923,10.6,b,,True,554436.0,146391.0
22,42878164,10.6,b,,True,554436.0,146391.0
23,42882927,10.6,b,,True,554436.0,146391.0
24,42878161,10.6,b,,True,554436.0,146391.0
25,42980487,10.6,b,,True,554436.0,146391.0
26,52034685,10.6,b,,True,554436.0,146391.0
27,42882789,10.6,b,,True,554436.0,146391.0
28,42882780,10.6,b,,True,554436.0,146391.0
29,42882921,10.6,b,,True,554436.0,146391.0
30,42885536,10.6,b,,True,554436.0,146391.0
31,42881304,10.6,b,,True,554436.0,146391.0
32,42882788,10.6,b,,True,554436.0,146391.0
33,52034755,10.6,b,,True,554436.0,146391.0
34,42885535,10.6,b,,True,554436.0,146391.0
35,42964449,10.6,b,,True,554436.0,146391.0
36,42885532,10.6,b,,True,554436.0,146391.0
37,52034655,10.6,b,,True,554436.0,146391.0
38,42943587,10.6,b,,True,554436.0,146391.0
39,42882786,10.6,b,,True,554436.0,146391.0
40,42882777,10.6,b,,True,554436.0,146391.0
41,52034705,10.6,b,,True,554436.0,146391.0
42,42964448,10.6,b,,True,554436.0,146391.0
43,42881302,10.6,b,,True,554436.0,146391.0
44,42885651,10.6,b,,True,554436.0,146391.0
45,52034615,10.6,b,,True,554436.0,146391.0
46,42882776,10.6,b,,True,554436.0,146391.0
47,52034605,10.6,b,,True,554436.0,146391.0
48,42882782,10.6,b,,True,554436.0,146391.0
49,42885537,10.6,b,,True,554436.0,146391.0
50,42882785,10.6,b,,True,554436.0,146391.0
51,42878159,10.6,b,,True,554436.0,146391.0
52,42885649,10.6,b,,True,554436.0,146391.0
53,42878166,10.6,b,,True,554436.0,146391.0
54,42882775,10.6,b,,True,554436.0,146391.0
55,42881303,10.6,b,,True,554436.0,146391.0
56,42943586,10.6,b,,True,554436.0,146391.0
57,42878165,10.6,b,,True,554436.0,146391.0
58,42882784,10.6,b,,True,554436.0,146391.0
59,42961676,10.6,b,,True,554436.0,146391.0
60,42881301,10.6,b,,True,554436.0,146391.0
61,42882779,10.6,b,,True,554436.0,146391.0
62,42882781,10.6,b,,True,554436.0,146391.0
63,42882920,10.6,b,,True,554436.0,146391.0
64,42943588,10.6,b,,True,554436.0,146391.0
65,42882778,10.6,b,,True,554436.0,146391.0
66,42882925,10.6,b,,True,554436.0,146391.0
67,42885534,10.6,b,,True,554436.0,146391.0
68,42878169,10.6,b,,True,554436.0,146391.0
69,42958200,21.0,b,,True,554225.0,145790.0
70,42705917,21.0,b,,True,554153.812,146042.43099999998
71,52034665,21.0,b,,True,554445.239485,146399.791428
72,52073209,21.0,b,,True,553815.898332,146202.027102
73,42961390,21.0,b,,True,553608.0,146386.0
74,42973379,21.0,b,,True,554436.0,146391.0
75,52045557,21.0,b,,True,554200.070867,145708.703798
76,88877489,21.0,b,,True,554362.9529329999,146121.624022
77,42941228,21.0,b,,True,554436.0,146391.0
78,42706210,21.0,b,,True,553804.631,146036.888
79,52833446,21.0,b,,True,553601.965959,146367.141821
80,88865776,21.0,b,,True,554395.0,146129.0
81,52100998,21.0,b,,True,554103.230771,145687.073519
82,42932847,21.0,b,,True,554134.0,146240.0
83,42909212,21.0,b,,True,554162.0,145820.0
84,52086131,21.0,b,,True,554260.525341,146543.564179
85,42975169,21.0,b,,True,553812.0,146198.0
86,42905802,21.0,b,,True,553963.0,146150.0
87,88874775,21.0,b,,True,554393.103967,146135.927777
88,172219203,21.0,b,,True,554134.0,146240.0
89,52142700,21.0,b,,True,553966.529915,146145.751492
90,42966814,21.0,b,,True,553963.0,146150.0
91,42876787,21.0,b,,True,554179.0,145632.0
92,52096704,21.0,b,,True,553752.4797680001,145696.23482
93,42937485,21.0,b,,True,554436.0,146391.0
94,42874411,21.0,b,,True,554051.0,145897.0
95,42876374,21.0,b,,True,554150.0,146006.0
96,172219228,21.0,b,,True,554134.0,146240.0
97,52141260,21.0,b,,True,553885.036266,145643.111043
