,SectionID,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords,FromNodeID,ToNodeID
0,43939209,,890.0,1529.0,0.007,1.4662,0.09,0.023149809904275686,0.11,1.0,1.0,cs,True,"[(554020.475, 146396.927), (554025.194, 146400.566)]",42787380,42687308
1,43825065,,1584.0,1529.0,0.011,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554018.517, 146409.068), (554025.194, 146400.566)]",42660293,42687308
2,43824920,,1204.0,1529.0,0.011,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554031.871, 146392.063), (554025.194, 146400.566)]",42700105,42687308
3,43825506,,1040.0,1746.0,0.018,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554007.887, 146422.604), (554003.163, 146428.62099999998)]",42698357,42684664
4,43896292,,2509.0,1746.0,0.006,0.2238,0.082,0.0045043001950499624,0.255,1.0,1.0,cs,True,"[(553992.0, 146424.0), (554003.163, 146428.62099999998)]",52889610,42684664
5,43971553,,1530.0,1107.0,0.238,0.2633,0.078,0.013817932201067487,0.319,1.0,1.0,cs,True,"[(554016.16, 146347.766), (553866.93, 146402.24300000002)]",42703621,42694044
6,43971551,,2238.0,1107.0,0.013,0.2633,0.078,0.013817932201067487,0.319,1.0,1.0,cs,True,"[(553864.373767, 146409.474934), (553866.93, 146402.24300000002)]",52101382,42694044
7,94588448,,1885.0,1696.0,0.034,0.245,0.071,3.1830988618379066,0.281,1.0,1.0,cs,True,"[(554109.3811090001, 146311.74646199998), (554092.565, 146310.19)]",52857530,94588294
8,43895417,,2513.0,827.0,0.003,0.2238,0.082,0.0045043001950499624,0.255,1.0,1.0,cs,True,"[(553992.0, 146424.0), (554003.818, 146421.31)]",52889602,42697592
9,43886508,,656.0,827.0,0.053,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554025.1070000001, 146394.201), (554003.818, 146421.31)]",42686073,42697592
10,43906026,,818.0,829.0,0.004,0.8409,0.094,0.012281421644563265,0.105,1.0,1.0,cs,True,"[(554051.114, 146388.604), (554053.1089999999, 146386.146)]",42785340,42692978
11,43993230,,2510.0,829.0,0.001,0.9266,0.086,0.02060124821589481,0.149,1.0,1.0,cs,True,"[(554039.0, 146339.0), (554053.1089999999, 146386.146)]",52107504,42692978
12,43939204,,1584.0,1016.0,0.011,4.71,0.12,0.02573240793725066,0.05,1.0,1.0,cs,True,"[(554018.517, 146409.068), (554013.978, 146405.522)]",42660293,42793224
13,43906704,,1584.0,1499.0,0.022,0.8409,0.094,0.012281421644563265,0.105,1.0,1.0,cs,True,"[(554018.517, 146409.068), (554034.855, 146414.137)]",42660293,42783479
14,43825075,,1584.0,1040.0,0.017,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554018.517, 146409.068), (554007.887, 146422.604)]",42660293,42698357
15,43904203,,1646.0,1040.0,0.031,2.1181,0.094,0.00691136629719886,0.075,1.0,1.0,cs,True,"[(554031.122, 146433.006), (554007.887, 146422.604)]",42767154,42698357
16,43884803,,656.0,1314.0,0.03,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554025.1070000001, 146394.201), (554038.182, 146377.55)]",42686073,42698393
17,43923895,,2511.0,1314.0,0.044,0.2384,0.078,0.004118756857055117,0.261,1.0,1.0,cs,True,"[(554039.0, 146339.0), (554038.182, 146377.55)]",52107544,42698393
18,52107522,,3021.0,2504.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554039.0, 146339.0), (554039.0, 146339.0)]",42890831,52107520
19,52101384,,3022.0,2238.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(553860.0, 146413.0), (553864.373767, 146409.474934)]",42968469,52101382
20,43896248,,2508.0,935.0,0.007,0.2238,0.082,0.0045043001950499624,0.255,1.0,1.0,cs,True,"[(553992.0, 146424.0), (553987.699, 146441.836)]",52889626,42699677
21,43825618,,935.0,1088.0,0.015,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(553987.699, 146441.836), (553974.454, 146430.939)]",42699677,42691844
22,43921938,,3031.0,1146.0,0.048,0.2384,0.078,0.004118756857055117,0.261,1.0,1.0,cs,True,"[(554039.0, 146339.0), (554052.4839999999, 146362.647)]",93849835,42695383
23,94588357,,1696.0,1146.0,0.072,0.2384,0.078,0.004118756857055117,0.261,1.0,1.0,cs,True,"[(554092.565, 146310.19), (554052.4839999999, 146362.647)]",94588294,42695383
24,93849838,,3031.0,2507.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554039.0, 146339.0), (554039.0, 146339.0)]",93849835,93848381
25,52107554,,3018.0,2505.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554039.0, 146339.0), (554039.0, 146339.0)]",42890834,52107552
26,43921904,,3032.0,793.0,0.049,0.2384,0.078,0.004118756857055117,0.261,1.0,1.0,cs,True,"[(554039.0, 146339.0), (554045.2729999999, 146381.59699999998)]",93849845,42693729
27,43824949,,860.0,793.0,0.021,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554038.4770000001, 146383.65099999998), (554045.2729999999, 146381.59699999998)]",42693414,42693729
28,93849848,,3032.0,2512.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554039.0, 146339.0), (554039.0, 146339.0)]",93849845,93848443
29,43897725,,2504.0,781.0,0.015,0.0571,0.04,0.002071305123661409,0.647,1.0,1.0,cs,True,"[(554039.0, 146339.0), (554057.215, 146317.571)]",52107520,42777729
30,52107530,,3025.0,2506.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554039.0, 146339.0), (554039.0, 146339.0)]",42890833,52107528
31,43824859,,860.0,1204.0,0.01,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554038.4770000001, 146383.65099999998), (554031.871, 146392.063)]",42693414,42700105
