,name,bus,p_kw,q_kvar,const_z_percent,const_i_percent,sn_kva,scaling,in_service,type
0,load 42783662,1467,3.5817120029938763,1.177251804712436,0.0,0.0,,1.0,True,
1,load 42787380,890,1.0269575366417751,0.3375446189877915,0.0,0.0,,1.0,True,
2,load 42769314,1758,4.578404001772073,1.5048486224697801,0.0,0.0,,1.0,True,
3,load 42777729,781,1.8389832354205955,0.6044445591731492,0.0,0.0,,1.0,True,
4,load 42783479,1499,4.44487382295416,1.4609593751306411,0.0,0.0,,1.0,True,
5,load 42785340,818,1.1104543708999335,0.36498870124120214,0.0,0.0,,1.0,True,
6,load 42793224,1016,3.8861622212229814,1.277319752262579,0.0,0.0,,1.0,True,
7,load 42767154,1646,5.098184874280364,1.6756923334392566,0.0,0.0,,1.0,True,
8,load 152492633,448,0.9926445785031832,0.3262664950459686,0.0,0.0,,1.0,True,
9,load 42937051,257,0.7103278379956693,0.2334734698152431,0.0,0.0,,1.0,True,
10,load 42787284,546,4.0496759365021004,1.331064111453568,0.0,0.0,,1.0,True,
11,load 42763335,1761,4.904051803472811,1.6118838787752514,0.0,0.0,,1.0,True,
12,load 42773552,1780,0.948124629352978,0.3116334953969249,0.0,0.0,,1.0,True,
13,load 42789009,503,6.274016562963516,2.0621695198750305,0.0,0.0,,1.0,True,
14,load 42787190,840,2.259760363071957,0.7427473128549692,0.0,0.0,,1.0,True,
15,load 42789804,812,9.543251180441583,3.1367149747405714,0.0,0.0,,1.0,True,
16,load 42784353,581,0.8192808418122703,0.26928459038125185,0.0,0.0,,1.0,True,
17,load 42767812,1679,4.39780744634491,1.445489405250818,0.0,0.0,,1.0,True,
18,load 42786427,1551,5.4268841117004545,1.783730548163654,0.0,0.0,,1.0,True,
19,load 42792703,1018,1.450167580004017,0.47664703339301784,0.0,0.0,,1.0,True,
20,load 42790819,1021,2.4472184047291523,0.8043617915356465,0.0,0.0,,1.0,True,
21,load 42765004,1593,1.8473556187075193,0.6071964284820263,0.0,0.0,,1.0,True,
22,load 42788091,1229,1.5195086091165713,0.49943832749905925,0.0,0.0,,1.0,True,
23,load 42793296,1770,3.4579811776534735,1.1365834491023836,0.0,0.0,,1.0,True,
