,name,bus,p_kw,q_kvar,const_z_percent,const_i_percent,sn_kva,scaling,in_service,type,index,SectionID,FromNodeID,ToNodeID
0,load 42783662,1467,5.917206719980728,1.9448917959152219,0.0,0.0,,1.0,True,,6,42783662-SPOTLOAD,42783662,42783662-SPOTLOAD
1,load 42787380,890,1.5527394783799917,0.5103607860272223,0.0,0.0,,1.0,True,,11,42787380-SPOTLOAD,42787380,42787380-SPOTLOAD
2,load 42769314,1758,10.866612538631582,3.5716828185855367,0.0,0.0,,1.0,True,,15,42769314-SPOTLOAD,42769314,42769314-SPOTLOAD
3,load 42777729,781,1.1260874677275832,0.3701270516831726,0.0,0.0,,1.0,True,,21,42777729-SPOTLOAD,42777729,42777729-SPOTLOAD
4,load 42783479,1499,4.571590077017807,1.502608993709168,0.0,0.0,,1.0,True,,48,42783479-SPOTLOAD,42783479,42783479-SPOTLOAD
5,load 42785340,818,1.398213757562977,0.4595706377533631,0.0,0.0,,1.0,True,,52,42785340-SPOTLOAD,42785340,42785340-SPOTLOAD
6,load 42793224,1016,7.343482785537461,2.413686068260766,0.0,0.0,,1.0,True,,56,42793224-SPOTLOAD,42793224,42793224-SPOTLOAD
7,load 42767154,1646,4.625735455169786,1.520405718876623,0.0,0.0,,1.0,True,,58,42767154-SPOTLOAD,42767154,42767154-SPOTLOAD
8,load 152492633,448,0.2966245736276128,0.09749578255685375,0.0,0.0,,1.0,True,,84,152492633-SPOTLOAD,152492633,152492633-SPOTLOAD
9,load 42937051,257,4.907508734397876,1.6130201170230212,0.0,0.0,,1.0,True,,163,42937051-SPOTLOAD,42937051,42937051-SPOTLOAD
10,load 42787284,546,4.176909273618437,1.3728836870125714,0.0,0.0,,1.0,True,,279,42787284-SPOTLOAD,42787284,42787284-SPOTLOAD
11,load 42763335,1761,1.8876026686632525,0.6204249940828154,0.0,0.0,,1.0,True,,289,42763335-SPOTLOAD,42763335,42763335-SPOTLOAD
12,load 42773552,1780,3.005271206795921,0.9877848774255197,0.0,0.0,,1.0,True,,291,42773552-SPOTLOAD,42773552,42773552-SPOTLOAD
13,load 42789009,503,6.827573565790082,2.2441149080145735,0.0,0.0,,1.0,True,,301,42789009-SPOTLOAD,42789009,42789009-SPOTLOAD
14,load 42787190,840,8.712790073756816,2.863755609004041,0.0,0.0,,1.0,True,,305,42787190-SPOTLOAD,42787190,42787190-SPOTLOAD
15,load 42789804,812,1.6778830419041961,0.5514934862230697,0.0,0.0,,1.0,True,,314,42789804-SPOTLOAD,42789804,42789804-SPOTLOAD
16,load 42784353,581,1.4401360894196247,0.47334984188667667,0.0,0.0,,1.0,True,,341,42784353-SPOTLOAD,42784353,42784353-SPOTLOAD
17,load 42767812,1679,5.096829194181691,1.6752467429391154,0.0,0.0,,1.0,True,,342,42767812-SPOTLOAD,42767812,42767812-SPOTLOAD
18,load 42786427,1551,7.262530280762189,2.3870782666667183,0.0,0.0,,1.0,True,,347,42786427-SPOTLOAD,42786427,42786427-SPOTLOAD
19,load 42792703,1018,5.5885081839949,1.8368538117411175,0.0,0.0,,1.0,True,,358,42792703-SPOTLOAD,42792703,42792703-SPOTLOAD
20,load 42790819,1021,4.154119994983644,1.3653932133568225,0.0,0.0,,1.0,True,,359,42790819-SPOTLOAD,42790819,42790819-SPOTLOAD
21,load 42765004,1593,2.5467992192581876,0.8370924224521049,0.0,0.0,,1.0,True,,361,42765004-SPOTLOAD,42765004,42765004-SPOTLOAD
22,load 42788091,1229,4.279731430886678,1.4066796957668437,0.0,0.0,,1.0,True,,369,42788091-SPOTLOAD,42788091,42788091-SPOTLOAD
