,bus,element,et,type,closed,name
0,2503,2502,b,,True,42571222
1,3018,1922,b,,True,42533575
2,3019,1922,b,,True,42533570
3,2512,1922,b,,True,93849829
4,3020,2503,b,,True,42571224
5,3023,2503,b,,True,42571223
6,3021,1922,b,,True,42533571
7,3024,2503,b,,True,42571225
8,1922,2507,b,,True,93849824
9,3026,1922,b,,True,42533572
10,3027,1922,b,,True,42533569
11,3028,2503,b,,True,42571226
12,3025,1922,b,,True,42533574
13,3030,1922,b,,True,42533573
14,3033,2503,b,,True,42571227
15,283,204,b,,True,42575388
16,332,113,b,,True,42549833
17,458,485,b,,True,42613833
18,122,189,b,,True,42535653
19,394,158,b,,True,42575208
20,302,256,b,,True,184842391
21,317,114,b,,True,184842365
22,128,337,b,,True,42586314
23,2524,2514,b,,True,175588245
24,264,122,b,,True,42575387
25,3034,2515,b,,True,42601687
26,481,378,b,,True,84817586
27,482,253,b,,True,42575207
28,423,387,b,,True,42601682
29,477,457,b,,True,42575212
30,438,190,b,,True,42574808
31,430,426,b,,True,42594772
32,190,337,b,,True,42586315
33,352,181,b,,True,42601684
34,379,448,b,,True,42525188
35,448,286,b,,True,42539933
36,130,351,b,,True,42586320
37,1934,2517,b,,True,42599167
38,2059,2515,b,,True,42601693
39,239,352,b,,True,42601683
40,191,379,b,,True,42592364
41,2515,2518,b,,True,42602773
42,426,307,b,,True,42594773
43,1933,2519,b,,True,42599169
44,366,249,b,,True,184842557
45,95,348,b,,True,42591700
46,104,367,b,,True,42552421
47,365,352,b,,True,42601685
48,253,122,b,,True,42575205
49,3036,2517,b,,True,42574803
50,344,256,b,,True,184842567
51,2040,2520,b,,True,175588292
52,245,157,b,,True,148912771
53,367,412,b,,True,42574300
54,459,256,b,,True,184842562
55,412,357,b,,True,42542282
56,414,485,b,,True,42613836
57,3037,2425,b,,True,214551798
58,294,147,b,,True,184842534
59,94,256,b,,True,184842579
60,191,393,b,,True,42599595
61,373,137,b,,True,42614708
62,316,122,b,,True,42540882
63,148,455,b,,True,137007533
64,2409,2521,b,,True,148913110
65,257,477,b,,True,42594770
66,286,366,b,,True,192652467
67,309,256,b,,True,42548492
68,172,412,b,,True,42591701
69,157,215,b,,True,148912722
70,153,377,b,,True,137007538
71,1905,2522,b,,True,42574810
72,350,337,b,,True,42590691
73,2489,2523,b,,True,42613838
74,424,213,b,,True,42601681
75,309,119,b,,True,42546414
76,2523,2516,b,,True,42613837
77,3035,2424,b,,True,214551748
78,426,257,b,,True,42594771
79,262,106,b,,True,42551422
80,123,485,b,,True,42613832
81,195,337,b,,True,42586317
82,2041,2514,b,,True,175588323
83,122,304,b,,True,42539717
84,126,412,b,,True,42546243
85,249,256,b,,True,184842373
86,158,122,b,,True,42575206
87,203,396,b,,True,42555327
88,485,150,b,,True,42613834
89,397,126,b,,True,42551867
90,441,245,b,,True,148912776
91,409,91,b,,True,42549005
92,328,208,b,,True,42551852
93,265,464,b,,True,42545835
94,224,164,b,,True,42535613
95,2273,2525,b,,True,42600408
96,419,91,b,,True,42542701
97,206,435,b,,True,42550832
98,2272,2526,b,,True,42600407
99,160,260,b,,True,42544910
100,207,224,b,,True,42541586
101,473,80,b,,True,88874091
102,2440,2527,b,,True,42570744
103,140,320,b,,True,42590692
104,462,466,b,,True,42544241
105,2535,2525,b,,True,42600409
106,69,234,b,,True,42550075
107,87,243,b,,True,88874072
108,2530,2256,b,,True,42609996
109,303,436,b,,True,42552225
110,184,182,b,,True,42552150
111,2062,2529,b,,True,42566171
112,436,233,b,,True,42540687
113,369,75,b,,True,42550980
114,162,133,b,,True,42541612
115,473,274,b,,True,88874068
116,112,179,b,,True,42554995
117,241,133,b,,True,42597244
118,260,124,b,,True,42540372
119,375,446,b,,True,42601440
120,2526,2531,b,,True,42605233
121,408,91,b,,True,42552301
122,446,260,b,,True,42544529
123,327,462,b,,True,42544739
124,278,290,b,,True,88873909
125,473,210,b,,True,88873899
126,208,224,b,,True,42552716
127,465,462,b,,True,42544644
128,3039,2527,b,,True,42569747
129,362,312,b,,True,42562794
130,2106,2532,b,,True,42584797
131,3040,2527,b,,True,42570746
132,276,371,b,,True,42552488
133,299,240,b,,True,42550906
134,306,259,b,,True,42584782
135,320,265,b,,True,42540315
136,451,462,b,,True,42543923
137,2532,2533,b,,True,42584799
138,2534,2528,b,,True,90147855
139,3038,1821,b,,True,42601526
140,231,242,b,,True,42605111
141,407,425,b,,True,42553589
142,449,265,b,,True,42544420
143,2463,2534,b,,True,88874180
144,434,198,b,,True,42550868
145,473,311,b,,True,88874060
146,435,436,b,,True,42540541
147,374,91,b,,True,42536002
148,185,224,b,,True,42546085
149,133,342,b,,True,42536072
150,353,409,b,,True,42546923
151,83,271,b,,True,42584783
152,312,133,b,,True,42543910
153,3041,2536,b,,True,42556667
154,2536,2537,b,,True,42556744
155,3046,2536,b,,True,42556743
156,3047,2538,b,,True,42559882
157,2273,2539,b,,True,42529026
158,3050,2538,b,,True,42559879
159,2536,2540,b,,True,42556745
160,3051,2538,b,,True,42559884
161,3044,2273,b,,True,42529028
162,3052,2538,b,,True,42559883
163,3053,2273,b,,True,42529027
164,3048,2273,b,,True,42528948
165,2536,2541,b,,True,42562462
166,2538,2542,b,,True,42572810
167,3042,2273,b,,True,42529029
