,bus,element,et,type,closed,SectionID,FromNodeID,ToNodeID,ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,RatedLevel,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Manufacturer,Standard,CableType,NumberOfGroundingConductors,ArmorOuterDiameter,OverallDiameter,ConcentricNeutralBeforeSheath,UserDefinedImpedances,Frequency,Temperature,ImpedancesNote,Favorite,Flags,Comments,Length
0,2503,2502,b,,True,42571222,42901266,42901267,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
1,3018,1922,b,,True,42533575,42890834,42890827,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
2,3019,1922,b,,True,42533570,42890835,42890827,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
3,2512,1922,b,,True,93849829,93848443,42890827,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
4,3020,2503,b,,True,42571224,42901268,42901266,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
5,3023,2503,b,,True,42571223,42909247,42901266,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
6,3021,1922,b,,True,42533571,42890831,42890827,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
7,3024,2503,b,,True,42571225,42909248,42901266,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
8,1922,2507,b,,True,93849824,42890827,93848381,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
9,3026,1922,b,,True,42533572,42890829,42890827,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
10,3027,1922,b,,True,42533569,42890830,42890827,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
11,3028,2503,b,,True,42571226,42909246,42901266,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
12,3025,1922,b,,True,42533574,42890833,42890827,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
13,3030,1922,b,,True,42533573,42890836,42890827,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
14,3033,2503,b,,True,42571227,42909249,42901266,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
